Date,nvda,msft,googl,amzn,aapl,meta
2023-01-31,136.47923483513716,103.43516624707816,110.9066448870613,120.17012074125853,115.36739632461124,119.42440419769285
2023-02-01,146.3011219773204,105.49711312906815,112.69075755953158,122.52388941947348,116.2788814794071,122.75132925403538
2023-02-02,151.65211535480387,110.44326500133752,120.89317886328868,131.56607325054435,120.58849121017636,151.33079030124637
2023-02-03,147.39786272571646,107.83453415298172,117.57181485098991,120.47308291459228,123.53082384054761,149.5350429924001
2023-02-06,147.32101286331746,107.17503469615922,115.4622983590891,119.06315622061024,121.31606746214476,149.15825228250702
2023-02-07,154.89347799634285,111.678744052226,120.78096916663334,118.9815905074045,123.6507392086351,153.61551259814817
2023-02-08,155.1170133500466,111.33232732417564,111.50136058020456,116.58122047021145,121.46797342657672,147.04985643595538
2023-02-09,156.0391316885667,110.03420188974393,106.60906941647086,114.47214893161362,120.62844242945377,142.6326742240705
2023-02-10,148.55047731125495,109.81716440855145,106.11536395466712,113.73805751276225,120.92475039127389,139.61038454270744
2023-02-13,152.20397284318153,113.24817282462412,106.16023923158937,115.98695090828643,123.19894608757598,143.84319027113557
2023-02-14,160.46803339761937,113.60295710649211,106.23879032011804,116.17338301418691,122.67843242622138,143.88328066501876
2023-02-15,159.02200782433746,112.69496724718894,108.77469505756929,117.87462598675621,124.38407919844796,142.02340347411163
2023-02-16,153.6989246953359,109.69468677197416,107.1701092980077,114.36728253891886,123.08683089575767,138.2395315003633
2023-02-17,149.409720914184,107.98326904370926,105.86849402028548,113.26030912827456,122.15795579101996,138.59228272207875
2023-02-21,144.2892237837189,105.72786950663607,102.99596879460809,110.20741338543583,118.89879036791777,137.9509470310894
2023-02-22,144.98077919999733,105.24247354750294,102.8388752192906,111.61734007941789,119.24313359245882,137.18133928585146
2023-02-23,165.30912133723828,106.6066053599566,101.98609012644988,111.65229554364949,119.63549973766972,137.9188575098052
2023-02-24,162.6685557979941,104.28424593291479,100.01122527053548,108.94896333312265,117.48142922432308,136.59613260432397
2023-02-27,164.17044187337376,104.67757934062638,100.84156842404512,109.25192550645639,118.45034194269562,135.91468193919766
2023-02-28,162.1795330400735,104.36793444404286,101.05476254682036,109.79958481940729,118.04195581521037,140.24370707097086
2023-03-01,158.5609486550774,103.04984363701371,101.39138303504649,107.39920589221823,116.36032667434424,139.02517786117994
2023-03-02,162.86415423312658,105.07510301172263,103.23160485671437,107.35259564324411,116.84082740616617,139.91503220781377
2023-03-03,166.88789728015095,106.82418121864275,105.08303474543797,110.58028648723277,120.9407456894461,148.5088911386649
2023-03-06,164.54070272351618,107.48532175384966,106.74371245071741,109.24027072171387,123.18292610530163,148.22831983211685
2023-03-07,162.71016113734595,106.34716578627892,105.31867080754425,109.00722836683929,121.39719176375439,147.91564671415776
2023-03-08,168.94942850999212,106.15886339300286,105.75628432363014,109.43835761235687,122.41418911305209,148.28444884157872
2023-03-09,163.74420050573158,105.58142434187567,103.59065868253172,107.49242639016646,120.58842949992108,145.65496390543362
2023-03-10,160.45339151857823,104.02062258232829,101.69434491514599,105.72128137912998,118.91479800814106,143.90732015319642
2023-03-13,160.46036574693753,106.25093891737605,102.23296006083152,107.702168065552,120.492309606275,145.02164137717017
2023-03-14,168.12494936850229,109.12562824761629,105.44210577473505,110.5569769177477,122.18997107146652,155.5395196711162
2023-03-15,169.27779064980007,111.07138937458178,107.84336747793976,112.0950795739096,122.51027198054499,158.52974441144886
2023-03-16,178.45155461617574,115.57383386786218,112.5673397958205,116.56956568546892,124.80048765912144,164.2857147246474
